#S 0 Fake Scan
#S 1 Extracted scans: [160576]
#C InputFile: /beamlines/bl22/projects/cycle2025-II/20250340369-skhabazian/DATA/RAW/Operando1/Electrodep_D_el/Mn/Electrodep_D_el_Mn.dat
#C Sample Description: Electrodep_D_el_XAS_Mn_K_1_2
#C TimeStamp column is calculated by start time + dt
#L Pt_No  energy  energyc  a_i0i1_timer  a_i0_1  a_i0_2  a_i1_1  a_i1_2  n_timer  n_i0_1  n_i0_2  n_i1_1  n_i1_2  n_i2_1  n_i2_2  sr_i_1  timestamp
0 6435.0 6435.103326415595 0.05 3.802964782714844 2.460516052246094 0.814415283203125 0.40110931396484373 0.05 21371.0 9262.0 4073.0 1983.0 25.0 29.0 251.7251416633703 1765465795.059717 
1 6436.0 6436.700461358218 0.05 3.808502502441406 2.468597717285156 0.8172344970703125 0.40248291015625 0.05 21368.0 9263.0 4088.0 1989.0 24.0 28.0 251.7251416633703 1765465795.114717 
2 6437.0 6437.572452234607 0.05 3.808493957519531 2.4763638305664064 0.81903564453125 0.40325439453125 0.05 21369.0 9266.0 4096.0 1993.0 24.0 27.0 251.7251416633703 1765465795.169717 
3 6438.0 6438.446432957481 0.05 3.8116055297851563 2.4777951049804687 0.8203451538085937 0.40386749267578126 0.05 21374.0 9268.0 4103.0 1996.0 25.0 28.0 251.7251416633703 1765465795.2247171 
4 6439.0 6439.31717989435 0.05 3.8148599243164063 2.4695977783203125 0.822940673828125 0.404847412109375 0.05 21376.0 9270.0 4113.0 2001.0 24.0 28.0 251.7251416633703 1765465795.279717 
5 6440.0 6440.207339320014 0.05 3.817102355957031 2.4747412109375 0.8238235473632812 0.4057794189453125 0.05 21376.0 9271.0 4121.0 2005.0 24.0 28.0 251.7251416633703 1765465795.334717 
6 6441.0 6441.1204135989665 0.05 3.8214044189453125 2.486640625 0.8260635375976563 0.406788330078125 0.05 21369.0 9272.0 4132.0 2010.0 24.0 29.0 251.7251416633703 1765465795.389717 
7 6442.0 6442.023300582612 0.05 3.823144836425781 2.4854751586914063 0.8278427124023438 0.40753997802734376 0.05 21353.0 9266.0 4140.0 2015.0 24.0 27.0 251.7251416633703 1765465795.444717 
8 6443.0 6442.91424734409 0.05 3.8261837768554687 2.480102233886719 0.829503173828125 0.408331298828125 0.05 21342.0 9260.0 4149.0 2018.0 24.0 27.0 251.7251416633703 1765465795.499717 
9 6444.0 6443.842083849919 0.05 3.8268667602539064 2.4845196533203127 0.8304733276367188 0.408995361328125 0.05 21335.0 9251.0 4155.0 2021.0 25.0 28.0 251.7251416633703 1765465795.554717 
10 6445.0 6444.7702015202685 0.05 3.829884033203125 2.4938595581054686 0.8329501342773438 0.41017333984375 0.05 21332.0 9245.0 4167.0 2027.0 24.0 28.0 251.7251416633703 1765465795.6097171 
11 6446.0 6445.703836610955 0.05 3.834111328125 2.494756164550781 0.834852294921875 0.41110137939453123 0.05 21339.0 9239.0 4176.0 2032.0 23.0 27.0 251.7251416633703 1765465795.664717 
12 6447.0 6446.622043148005 0.05 3.8347537231445314 2.485007629394531 0.8364382934570312 0.41183990478515625 0.05 21341.0 9237.0 4183.0 2036.0 24.0 27.0 251.7251416633703 1765465795.719717 
13 6448.0 6447.559735643305 0.05 3.84030517578125 2.494811706542969 0.8388333129882812 0.4128762817382812 0.05 21345.0 9239.0 4195.0 2042.0 25.0 28.0 251.7251416633703 1765465795.774717 
14 6449.0 6448.511690919245 0.05 3.839002685546875 2.5003741455078123 0.8403363037109375 0.4136239624023437 0.05 21352.0 9236.0 4202.0 2045.0 24.0 27.0 251.7251416633703 1765465795.829717 
15 6450.0 6449.432486715815 0.05 3.844302062988281 2.502060546875 0.84272705078125 0.41463958740234375 0.05 21357.0 9237.0 4213.0 2051.0 24.0 27.0 251.7251416633703 1765465795.884717 
16 6451.0 6450.392016018397 0.05 3.8424758911132812 2.491319274902344 0.8442031860351562 0.41517181396484376 0.05 21363.0 9236.0 4219.0 2053.0 24.0 28.0 251.7251416633703 1765465795.939717 
17 6452.0 6451.351845685855 0.05 3.8502163696289062 2.5012359619140625 0.8464019775390625 0.41664886474609375 0.05 21361.0 9233.0 4232.0 2060.0 23.0 27.0 251.7251416633703 1765465795.9947171 
18 6453.0 6452.3049792856755 0.05 3.846815490722656 2.5071331787109377 0.8470883178710937 0.41696685791015625 0.05 21361.0 9236.0 4237.0 2061.0 24.0 27.0 251.7251416633703 1765465796.049717 
19 6454.0 6453.246161394371 0.05 3.8526431274414064 2.50842041015625 0.8492715454101563 0.4181610107421875 0.05 21362.0 9241.0 4247.0 2067.0 24.0 27.0 251.7251416633703 1765465796.104717 
20 6455.0 6454.212135449018 0.05 3.85331787109375 2.4996551513671874 0.850687255859375 0.4189056396484375 0.05 21366.0 9244.0 4256.0 2071.0 24.0 27.0 251.7251416633703 1765465796.159717 
21 6456.0 6455.185416844752 0.05 3.85540283203125 2.5069589233398437 0.8528231811523438 0.419779052734375 0.05 21374.0 9245.0 4264.0 2076.0 24.0 26.0 251.7251416633703 1765465796.2147171 
22 6457.0 6456.162509704167 0.05 3.8462124633789063 2.5077334594726564 0.851044921875 0.4191583251953125 0.05 21376.0 9245.0 4259.0 2073.0 25.0 28.0 251.7251416633703 1765465796.269717 
23 6458.0 6457.106627817651 0.05 3.8311538696289062 2.495555114746094 0.8494866943359375 0.4182745361328125 0.05 21382.0 9244.0 4249.0 2068.0 24.0 27.0 251.7251416633703 1765465796.324717 
